id,texte_brut,texte_nettoye,nb_mots,label
Procedures_internes_sample.pdf,"Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de di
ffusion. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie,
point de rassemblement au parking nord.","Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de di
ffusion. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie,
point de rassemblement au parking nord.",35,Procedures_internes
Procedures_internes_sample.docx,"Procedures internes
Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie, point de rassemblement au parking nord.","Procedures internes
Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie, point de rassemblement au parking nord.",36,Procedures_internes
Contrats_sample.pdf,"Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenanc
e des équipements de diffusion. Accord de partenariat publicitaire entre 2M et l'annonceur
, portant sur une campagne de trois mois.","Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenanc
e des équipements de diffusion. Accord de partenariat publicitaire entre 2M et l'annonceur
, portant sur une campagne de trois mois.",34,Contrats
Contrats_sample.docx,"Contrats
Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois.","Contrats
Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois.",33,Contrats
RH_sample.pdf,"Note de service concernant la mise à jour du règlement intérieur applicable à tous les dép
artements. Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du départeme
nt IT.","Note de service concernant la mise à jour du règlement intérieur applicable à tous les dép
artements. Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du départeme
nt IT.",32,RH
RH_sample.docx,"RH
Note de service concernant la mise à jour du règlement intérieur applicable à tous les départements. Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du département IT.","RH
Note de service concernant la mise à jour du règlement intérieur applicable à tous les départements. Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du département IT.",31,RH
Technique_sample.pdf,"Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la
chaîne. Documentation d'installation du nouveau serveur de stockage pour les archives vidé
o.","Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la
chaîne. Documentation d'installation du nouveau serveur de stockage pour les archives vidé
o.",25,Technique
Technique_sample.docx,"Technique
Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne. Documentation d'installation du nouveau serveur de stockage pour les archives vidéo.","Technique
Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne. Documentation d'installation du nouveau serveur de stockage pour les archives vidéo.",25,Technique
Procedures_internes_synth_00.txt,"Procédure de sauvegarde quotidienne des serveurs de diffusion, exécutée chaque nuit à 02h00. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie, point de rassemblement au parking nord. En cas de coupure d'antenne, contacter immédiatement l'astreinte technique au numéro interne dédié.","Procédure de sauvegarde quotidienne des serveurs de diffusion, exécutée chaque nuit à 02h00. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie, point de rassemblement au parking nord. En cas de coupure d'antenne, contacter immédiatement l'astreinte technique au numéro interne dédié.",44,Procedures_internes
Procedures_internes_synth_01.txt,"Procédure d'habilitation des nouveaux collaborateurs aux outils de régie et de montage. Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres.","Procédure d'habilitation des nouveaux collaborateurs aux outils de régie et de montage. Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres.",43,Procedures_internes
Procedures_internes_synth_02.txt,"Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres. Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Procédure de sauvegarde quotidienne des serveurs de diffusion, exécutée chaque nuit à 02h00.","Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres. Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Procédure de sauvegarde quotidienne des serveurs de diffusion, exécutée chaque nuit à 02h00.",44,Procedures_internes
Procedures_internes_synth_03.txt,"Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres. Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie, point de rassemblement au parking nord.","Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres. Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie, point de rassemblement au parking nord.",49,Procedures_internes
Procedures_internes_synth_04.txt,"Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Procédure d'habilitation des nouveaux collaborateurs aux outils de régie et de montage. En cas de coupure d'antenne, contacter immédiatement l'astreinte technique au numéro interne dédié.","Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Procédure d'habilitation des nouveaux collaborateurs aux outils de régie et de montage. En cas de coupure d'antenne, contacter immédiatement l'astreinte technique au numéro interne dédié.",41,Procedures_internes
Procedures_internes_synth_05.txt,"En cas de coupure d'antenne, contacter immédiatement l'astreinte technique au numéro interne dédié. Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie, point de rassemblement au parking nord.","En cas de coupure d'antenne, contacter immédiatement l'astreinte technique au numéro interne dédié. Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Consigne de sécurité : évacuation immédiate du bâtiment en cas d'alerte incendie, point de rassemblement au parking nord.",47,Procedures_internes
Procedures_internes_synth_06.txt,"Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres. En cas de coupure d'antenne, contacter immédiatement l'astreinte technique au numéro interne dédié.","Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres. En cas de coupure d'antenne, contacter immédiatement l'astreinte technique au numéro interne dédié.",44,Procedures_internes
Procedures_internes_synth_07.txt,"Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres. Procédure d'habilitation des nouveaux collaborateurs aux outils de régie et de montage.","Cette procédure décrit les étapes à suivre en cas d'incident technique sur le réseau de diffusion. Protocole de contrôle qualité avant diffusion : vérification du format, du son et des sous-titres. Procédure d'habilitation des nouveaux collaborateurs aux outils de régie et de montage.",43,Procedures_internes
Contrats_synth_00.txt,"Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois. Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion.","Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois. Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion.",43,Contrats
Contrats_synth_01.txt,Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Avenant au contrat cadre fixant les nouvelles conditions tarifaires pour l'année en cours. Convention de coproduction audiovisuelle entre 2M et le producteur externe pour la nouvelle émission.,Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Avenant au contrat cadre fixant les nouvelles conditions tarifaires pour l'année en cours. Convention de coproduction audiovisuelle entre 2M et le producteur externe pour la nouvelle émission.,38,Contrats
Contrats_synth_02.txt,"Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois. Avenant au contrat cadre fixant les nouvelles conditions tarifaires pour l'année en cours.","Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois. Avenant au contrat cadre fixant les nouvelles conditions tarifaires pour l'année en cours.",45,Contrats
Contrats_synth_03.txt,"Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois. Contrat de licence pour l'utilisation du logiciel de montage vidéo, renouvelable annuellement.","Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois. Contrat de licence pour l'utilisation du logiciel de montage vidéo, renouvelable annuellement.",38,Contrats
Contrats_synth_04.txt,"Convention de coproduction audiovisuelle entre 2M et le producteur externe pour la nouvelle émission. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois. Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion.","Convention de coproduction audiovisuelle entre 2M et le producteur externe pour la nouvelle émission. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois. Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion.",46,Contrats
Contrats_synth_05.txt,"Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Contrat de licence pour l'utilisation du logiciel de montage vidéo, renouvelable annuellement. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois.","Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Contrat de licence pour l'utilisation du logiciel de montage vidéo, renouvelable annuellement. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois.",38,Contrats
Contrats_synth_06.txt,"Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion. Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois.","Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion. Contrat de prestation de services informatiques pour l'infogérance du parc serveurs. Accord de partenariat publicitaire entre 2M et l'annonceur, portant sur une campagne de trois mois.",43,Contrats
Contrats_synth_07.txt,"Contrat de licence pour l'utilisation du logiciel de montage vidéo, renouvelable annuellement. Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion. Contrat de prestation de services informatiques pour l'infogérance du parc serveurs.","Contrat de licence pour l'utilisation du logiciel de montage vidéo, renouvelable annuellement. Le présent contrat de prestation technique lie SOREAD-2M au prestataire pour la maintenance des équipements de diffusion. Contrat de prestation de services informatiques pour l'infogérance du parc serveurs.",40,Contrats
RH_synth_00.txt,Note d'information sur les congés payés et les modalités de pose pendant la période estivale. Note de service concernant la mise à jour du règlement intérieur applicable à tous les départements. Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du département IT.,Note d'information sur les congés payés et les modalités de pose pendant la période estivale. Note de service concernant la mise à jour du règlement intérieur applicable à tous les départements. Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du département IT.,45,RH
RH_synth_01.txt,Politique de télétravail applicable aux équipes techniques et administratives de 2M. Note d'information sur les congés payés et les modalités de pose pendant la période estivale. Procédure d'intégration des nouveaux employés durant leur première semaine.,Politique de télétravail applicable aux équipes techniques et administratives de 2M. Note d'information sur les congés payés et les modalités de pose pendant la période estivale. Procédure d'intégration des nouveaux employés durant leur première semaine.,35,RH
RH_synth_02.txt,"Compte-rendu de l'entretien annuel d'évaluation, incluant les objectifs pour l'année suivante. Politique de télétravail applicable aux équipes techniques et administratives de 2M. Note d'information sur les congés payés et les modalités de pose pendant la période estivale.","Compte-rendu de l'entretien annuel d'évaluation, incluant les objectifs pour l'année suivante. Politique de télétravail applicable aux équipes techniques et administratives de 2M. Note d'information sur les congés payés et les modalités de pose pendant la période estivale.",37,RH
RH_synth_03.txt,"Compte-rendu de l'entretien annuel d'évaluation, incluant les objectifs pour l'année suivante. Procédure d'intégration des nouveaux employés durant leur première semaine. Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du département IT.","Compte-rendu de l'entretien annuel d'évaluation, incluant les objectifs pour l'année suivante. Procédure d'intégration des nouveaux employés durant leur première semaine. Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du département IT.",34,RH
RH_synth_04.txt,Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du département IT. Procédure d'intégration des nouveaux employés durant leur première semaine. Note de service concernant la mise à jour du règlement intérieur applicable à tous les départements.,Fiche de poste pour le recrutement d'un ingénieur systèmes au sein du département IT. Procédure d'intégration des nouveaux employés durant leur première semaine. Note de service concernant la mise à jour du règlement intérieur applicable à tous les départements.,39,RH
RH_synth_05.txt,"Note d'information sur les congés payés et les modalités de pose pendant la période estivale. Compte-rendu de l'entretien annuel d'évaluation, incluant les objectifs pour l'année suivante. Politique de télétravail applicable aux équipes techniques et administratives de 2M.","Note d'information sur les congés payés et les modalités de pose pendant la période estivale. Compte-rendu de l'entretien annuel d'évaluation, incluant les objectifs pour l'année suivante. Politique de télétravail applicable aux équipes techniques et administratives de 2M.",37,RH
RH_synth_06.txt,"Compte-rendu de l'entretien annuel d'évaluation, incluant les objectifs pour l'année suivante. Politique de télétravail applicable aux équipes techniques et administratives de 2M. Procédure d'intégration des nouveaux employés durant leur première semaine.","Compte-rendu de l'entretien annuel d'évaluation, incluant les objectifs pour l'année suivante. Politique de télétravail applicable aux équipes techniques et administratives de 2M. Procédure d'intégration des nouveaux employés durant leur première semaine.",31,RH
RH_synth_07.txt,Note d'information sur les congés payés et les modalités de pose pendant la période estivale. Note de service concernant la mise à jour du règlement intérieur applicable à tous les départements. Procédure d'intégration des nouveaux employés durant leur première semaine.,Note d'information sur les congés payés et les modalités de pose pendant la période estivale. Note de service concernant la mise à jour du règlement intérieur applicable à tous les départements. Procédure d'intégration des nouveaux employés durant leur première semaine.,40,RH
Technique_synth_00.txt,Guide de configuration réseau pour les postes de travail du département IT. Spécifications techniques du système d'encodage vidéo haute définition. Documentation d'installation du nouveau serveur de stockage pour les archives vidéo.,Guide de configuration réseau pour les postes de travail du département IT. Spécifications techniques du système d'encodage vidéo haute définition. Documentation d'installation du nouveau serveur de stockage pour les archives vidéo.,31,Technique
Technique_synth_01.txt,Rapport de test de la nouvelle plateforme de gestion électronique de documents. Documentation d'installation du nouveau serveur de stockage pour les archives vidéo. Spécifications techniques du système d'encodage vidéo haute définition.,Rapport de test de la nouvelle plateforme de gestion électronique de documents. Documentation d'installation du nouveau serveur de stockage pour les archives vidéo. Spécifications techniques du système d'encodage vidéo haute définition.,31,Technique
Technique_synth_02.txt,Spécifications techniques du système d'encodage vidéo haute définition. Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne. Guide de configuration réseau pour les postes de travail du département IT.,Spécifications techniques du système d'encodage vidéo haute définition. Fiche technique décrivant l'architecture du système de diffusion satellite utilisé par la chaîne. Guide de configuration réseau pour les postes de travail du département IT.,33,Technique
